"Time (s)","Frequency (Hz)","Speed (m/s)"
4.271310624E0,NaN,9.072629533E-1
4.281310832E0,1.998310529E3,NaN
4.291311040E0,2.005850839E3,-2.874529477E-1
4.301311249E0,2.004716125E3,9.917413035E-1
4.311311457E0,2.003803227E3,7.998551068E-1
4.321311665E0,1.999896850E3,6.453214020E-1
4.331311874E0,2.003540683E3,-1.753644913E-2
4.341312082E0,2.004308456E3,6.008524221E-1
4.351312290E0,2.004578328E3,7.308631080E-1
4.361312499E0,2.007944177E3,7.765381025E-1
4.371312707E0,2.000541092E3,1.345166988E0
4.389201613E0,2.005973321E3,9.196078912E-2
4.399201821E0,NaN,1.012440796E0
4.409202030E0,NaN,NaN
4.419202238E0,NaN,NaN
4.429202446E0,NaN,NaN
4.439202655E0,NaN,NaN
4.449202863E0,NaN,NaN
4.459203071E0,1.998761458E3,NaN
4.469203280E0,2.001535951E3,-2.106826845E-1
4.479203488E0,2.000217324E3,2.609112179E-1
4.489203696E0,1.998238632E3,3.694110148E-2
4.499203905E0,1.998198681E3,-2.996964989E-1
4.509204113E0,1.997427679E3,-3.065002233E-1
4.519204321E0,1.996379430E3,-4.378577173E-1
4.529204530E0,NaN,-6.166132248E-1
4.539204738E0,1.999431169E3,NaN
4.549204946E0,1.998018303E3,-9.672874970E-2
4.559205155E0,1.995277747E3,-3.372226172E-1
4.569205363E0,1.996117169E3,-8.046830150E-1
4.579205571E0,1.998413436E3,-6.613652035E-1
4.589205780E0,1.996090895E3,-2.699299653E-1
4.599205988E0,1.996602514E3,-6.658493068E-1
4.609206196E0,1.997980473E3,-5.785554076E-1
4.619206405E0,1.997515581E3,-3.436666529E-1
4.629206613E0,1.997109164E3,-4.228764598E-1
4.639206821E0,1.997171138E3,-4.921534601E-1
4.649207030E0,2.008259958E3,-4.815877099E-1
4.659207238E0,2.000045686E3,1.398417430E0
4.669207446E0,NaN,7.766451787E-3
4.679207655E0,1.999998572E3,NaN
4.689207863E0,1.998170289E3,-2.427600855E-4
4.699208071E0,NaN,-3.113357730E-1
4.709208280E0,1.997610102E3,NaN
4.719208488E0,1.995712168E3,-4.067688011E-1
4.729208696E0,2.000352172E3,-7.304975982E-1
4.739208905E0,1.998049995E3,5.985867481E-2
4.749209113E0,2.001237305E3,-3.318243080E-1
4.759209321E0,2.003871279E3,2.102118640E-1
4.769209530E0,2.009094420E3,6.568459739E-1
4.779209738E0,2.004996475E3,1.539052990E0
4.789209947E0,2.006967409E3,8.472840199E-1
4.799210155E0,2.009202938E3,1.180347509E0
4.809210363E0,NaN,1.557333421E0
4.819210572E0,2.001402900E3,NaN
4.829210780E0,2.003812103E3,2.383258860E-1
4.839210988E0,1.999062279E3,6.468245648E-1
4.849211197E0,1.995838805E3,-1.594873607E-1
4.859211405E0,1.997241980E3,-7.088780083E-1
4.869211613E0,1.997882260E3,-4.695107956E-1
4.879211822E0,2.001014668E3,-3.603973381E-1
4.889212030E0,2.004117099E3,1.724060249E-1
4.899212238E0,2.002984590E3,6.984689640E-1
4.909212447E0,2.005509312E3,5.066241881E-1
4.919212655E0,2.003689968E3,9.340101172E-1
4.924493800E0,1.996801222E3,6.261394227E-1
4.934494008E0,1.994503696E3,-5.446633608E-1
4.944494217E0,1.993841189E3,-9.369465032E-1
4.954494425E0,2.000286090E3,-1.050232001E0
4.964494633E0,2.004624391E3,4.862827969E-2
4.974494842E0,2.004237198E3,7.843328594E-1
4.984495050E0,2.003535651E3,7.188008565E-1
4.994495258E0,2.001472290E3,5.999999334E-1
5.004495467E0,2.000925652E3,2.501052023E-1
5.014495675E0,2.002057339E3,1.572879871E-1
5.024495883E0,2.002880888E3,3.493882195E-1
5.034496092E0,2.004556532E3,4.890465708E-1
5.044496300E0,2.001953787E3,7.728497628E-1
5.054496508E0,2.001445500E3,3.318195742E-1
5.064496717E0,2.003020855E3,2.455575690E-1
5.074496925E0,2.002250186E3,5.127708822E-1
5.084497133E0,2.003840102E3,3.821017224E-1
5.094497342E0,2.004420510E3,6.515662501E-1
5.104497550E0,2.001081867E3,7.498294409E-1
5.114497758E0,2.006028988E3,1.838179906E-1
5.124497967E0,2.006301120E3,1.021847588E0
5.134498175E0,2.003770624E3,1.067826084E0
5.144498383E0,2.001607600E3,6.397998353E-1
5.154498592E0,2.001766952E3,2.730725793E-1
5.164498800E0,2.001433923E3,3.001167475E-1
5.174499008E0,2.005703200E3,2.435921967E-1
5.184499217E0,2.006609835E3,9.667871591E-1
5.194499425E0,2.003661451E3,1.119970514E0
5.204499633E0,2.001470100E3,6.213092424E-1
5.214499842E0,2.001196653E3,2.497334193E-1
5.224500050E0,2.003066561E3,2.033093352E-1
5.234500258E0,2.002528207E3,5.205173071E-1
5.244500467E0,2.003516412E3,4.292525341E-1
5.254500675E0,2.002130624E3,5.967408523E-1
5.264500883E0,2.001985675E3,3.618205563E-1
5.274501092E0,2.003326376E3,3.372299040E-1
5.284501300E0,2.001799603E3,5.645450335E-1
5.294501508E0,2.000993507E3,3.056574165E-1
5.304501717E0,2.000433133E3,1.688122880E-1
5.314501925E0,2.001405665E3,7.361658633E-2
5.324502134E0,2.003576161E3,2.387951379E-1
5.334502342E0,1.999933983E3,6.068622127E-1
5.344502550E0,2.000083081E3,-1.122319303E-2
5.354502759E0,2.002195315E3,1.412317610E-2
5.364502967E0,2.004837984E3,3.727943052E-1
5.374503175E0,2.003557431E3,8.204726184E-1
5.384503384E0,2.000822455E3,6.036894611E-1
5.394503592E0,NaN,1.397598469E-1
5.404503800E0,1.995310556E3,NaN
5.414504009E0,2.002813237E3,-7.990791337E-1
5.424504217E0,NaN,4.775786019E-1
5.434504425E0,2.009108099E3,NaN
5.444504634E0,NaN,1.541357357E0
5.454504842E0,NaN,NaN
