"Time (s)","Frequency (Hz)","Speed (m/s)"
5.527200259E0,9.929375565E2,-1.485039784E0
5.537200467E0,NaN,-4.845626793E-2
5.547200676E0,NaN,6.272558900E-2
5.557200884E0,9.933039463E2,-7.118463962E-1
5.567201092E0,9.941869106E2,-1.296272844E0
5.577201301E0,9.945398946E2,NaN
5.587201509E0,9.928122774E2,NaN
5.597201717E0,9.945763135E2,-2.631396707E0
5.580187655E0,9.952316160E2,-2.353021549E0
5.590187863E0,9.955025784E2,-2.418309960E0
5.600188072E0,9.952030272E2,NaN
5.610188280E0,9.954263004E2,NaN
5.620188488E0,1.001438625E3,-2.292005635E0
5.630188697E0,1.003268304E3,-1.988006873E0
5.640188905E0,9.983196459E2,-1.866627835E0
5.650189113E0,9.983264424E2,-2.461518382E0
5.660189322E0,1.001713002E3,-1.854109509E0
5.670189530E0,9.999983639E2,-1.629018340E0
5.680189738E0,9.956030062E2,-1.536031523E0
5.690189947E0,NaN,-1.638832201E0
5.700190155E0,9.930835384E2,-1.562202903E0
5.710190363E0,9.958454179E2,4.884296749E-1
5.720190572E0,9.952616957E2,1.107603425E0
5.730190780E0,9.962365406E2,-5.722820316E-1
5.740190988E0,9.957084603E2,-5.699634358E-1
5.750191197E0,9.994154683E2,5.814247879E-1
5.760191405E0,1.001044526E3,-5.562697608E-4
5.770191613E0,NaN,-1.501580325E0
5.780191822E0,1.000762494E3,NaN
5.790192030E0,9.969786450E2,-2.367974964E0
5.800192238E0,9.984972141E2,-1.418450994E0
5.810192447E0,9.992426508E2,-1.618693312E0
5.820192655E0,9.999197175E2,-1.284410007E0
5.830192863E0,9.981235451E2,-1.465412357E0
5.840193072E0,9.976337069E2,-1.988570100E-1
5.850193280E0,1.000926653E3,3.547684268E-1
5.860193488E0,9.993388411E2,NaN
5.870193697E0,9.946061185E2,2.590504615E-1
5.880193905E0,9.993477232E2,-1.030373828E0
5.890194113E0,9.965414732E2,-5.117161908E-1
5.900194322E0,9.947913529E2,-2.576938780E-1
5.910194530E0,9.973709462E2,-2.729824761E-2
5.920194738E0,9.956815585E2,-6.391940831E-1
5.930194947E0,1.003110958E3,-8.064479627E-1
5.940195155E0,1.007835323E3,3.147701984E-1
5.950195363E0,1.007617525E3,-2.249427639E-1
5.960195572E0,1.006606458E3,-1.843865296E0
5.970195780E0,1.005299909E3,-2.219188492E-1
5.980195989E0,1.002568990E3,-1.179980092E0
5.990196197E0,1.002648702E3,-1.780212510E0
6.000196405E0,1.000441141E3,-8.962345250E-1
6.010196614E0,9.970982350E2,-1.474638259E0
6.020196822E0,NaN,1.054445333E0
6.030197030E0,NaN,2.643298555E0
6.040197239E0,9.990017002E2,2.570378460E0
6.050197447E0,9.976800569E2,2.231453626E0
6.060197655E0,9.995269015E2,1.792469218E0
6.070197864E0,1.000298900E3,8.712184826E-1
6.080198072E0,1.002851182E3,8.981798329E-1
6.090198280E0,NaN,1.499216859E-1
6.100198489E0,NaN,-9.894713037E-1
6.110198697E0,1.003267728E3,NaN
6.147057394E0,1.003037232E3,NaN
6.157057602E0,1.003834223E3,-3.397611313E-1
6.167057811E0,1.006723593E3,-7.906148499E-1
6.177058019E0,1.008199978E3,-1.609296212E-1
6.187058227E0,1.008244773E3,1.015955015E-1
6.197058436E0,1.007623075E3,9.666458021E-1
6.207058644E0,1.005526147E3,NaN
6.217058852E0,1.002714510E3,NaN
6.227059061E0,1.000981895E3,1.107408974E0
6.237059269E0,1.001789343E3,1.029532046E0
6.247059477E0,1.004781925E3,1.298656466E0
6.257059686E0,1.007591941E3,2.270754071E0
6.267059894E0,NaN,2.765317074E0
6.277060102E0,1.009203788E3,2.780299729E0
6.287060311E0,1.008259217E3,2.572237248E0
6.297060519E0,1.008184346E3,1.868563926E0
6.307060727E0,1.006040014E3,9.204348389E-1
6.317060936E0,1.005562648E3,3.335169359E-1
6.327061144E0,1.004797464E3,6.072899853E-1
6.337061352E0,1.005361018E3,1.618116706E0
6.347061561E0,1.007315476E3,2.561810663E0
6.357061769E0,1.007896726E3,NaN
6.367061977E0,1.006827396E3,3.100749221E0
6.377062186E0,1.007311460E3,2.785130672E0
6.387062394E0,1.008830390E3,2.760088268E0
6.397062602E0,1.007702566E3,2.041275588E0
6.407062811E0,1.005420251E3,1.880837945E0
6.417063019E0,1.006275778E3,1.623349662E0
6.427063227E0,1.008862801E3,1.813026463E0
6.437063436E0,NaN,2.469198488E0
6.447063644E0,1.009339443E3,2.663851128E0
6.457063852E0,1.004711310E3,2.305573711E0
6.467064061E0,1.003406060E3,2.467852890E0
6.477064269E0,1.001469807E3,2.976052820E0
6.487064477E0,1.003667795E3,2.598854499E0
6.497064686E0,1.003994193E3,1.832950326E0
6.507064894E0,1.005068707E3,2.120456835E0
6.517065102E0,1.005440973E3,2.986880107E0
6.527065311E0,1.003245846E3,NaN
6.537065519E0,1.000281991E3,3.146028434E0
6.547065728E0,1.003484863E3,1.594333878E0
